Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
3363136,0.9994714,9.996637e-07,5.0,0.014314974,0.0023805774,-1.7896326e-05,-0.9914443788778348,0.005865020755057533,0.0,-0.991444363568263,116.0,0.00013436962,0.024142535,0.0015551575,0.04984939,0.09753555,0.0242719,0.97627276,0.06092747449874878
3364136,0.99946594,9.996637e-07,5.0,0.01306999,0.0024102924,2.8753775e-05,-0.9466743312659673,0.023900582629721612,0.0,-0.9466742804698018,520.0,0.00010850434,0.022817502,0.001233261,0.045235366,0.06233695,0.013521041,0.989165,0.0
3365136,0.9994684,9.996637e-07,5.0,0.00783211,0.0024243263,1.0024245e-05,-0.9269125798859427,0.026747201569378376,0.0,-0.9269125674253975,803.0,0.00024154146,0.02429462,0.0011823975,0.04212733,0.06980445,0.015174858,0.98394924,0.0
3366136,0.9994835,9.996637e-07,5.0,-0.0036229172,0.0024013175,-8.154618e-05,-0.8827236424850443,0.03414682570887222,0.0,-0.8827236383761815,1040.8181818181818,0.00026263882,0.025557147,0.0010820308,0.03531227,0.0603345,0.013788839,0.988959,0.0
3367137,0.99948394,9.996635e-07,5.0,0.0033434813,0.0023911097,-5.4557397e-05,-0.3508098713296931,0.04465116447536275,0.0,-0.35080986383861684,1577.6,0.00012147052,0.023292605,0.001118671,0.037397742,0.033510413,0.009483744,0.99265766,0.0
3368137,0.9994845,9.996633e-07,5.0,0.0034497827,0.0024007063,-0.000116959854,-0.3196145220135804,0.0547700259069513,0.0,-0.3196145189477089,1925.2142857142858,0.00023332644,0.025785875,0.0011608193,0.038296632,0.04126806,0.010532886,0.9917573,0.0
3369136,0.99947983,9.99663e-07,5.0,0.011077404,0.002440703,-4.301216e-05,0.524022340522788,0.055296067273593506,0.0,0.5240223310047389,2070.1,0.00014034926,0.025084922,0.0011312559,0.039339986,0.07035832,0.011219885,0.97939384,0.0
3370136,0.99947447,9.99663e-07,5.0,0.01939817,0.0025264279,-7.078632e-05,0.4043456249893171,0.06173505590413697,0.0,0.40434562366746957,2337.3783783783783,0.00018245539,0.022723446,0.0012636126,0.0433212,0.035890944,0.0106113795,0.9915796,0.0
3371136,0.9994724,9.99663e-07,5.0,0.023488736,0.0026872212,-4.3301687e-05,0.5279947624031693,0.06603874657594133,0.0,0.5279947597419193,2639.3611111111113,0.0001975048,0.02378459,0.0012834268,0.040556516,0.046156194,0.010159306,0.98993653,0.0
3372136,0.99947155,9.996628e-07,5.0,0.026236024,0.0028486496,-4.7994065e-05,0.6439512994667276,0.07295723619183332,0.0,0.6439512982417875,2943.2264150943397,0.0001829893,0.02414988,0.0013321348,0.04076717,0.06336329,0.013741562,0.99149334,0.0
3373137,0.99947053,9.996629e-07,5.0,0.016310029,0.0026952818,1.7822335e-06,0.22609912944631105,0.07106877803259219,0.0,0.2260991217197212,2822.4791666666665,0.00035315825,0.023984464,0.0012431042,0.037143115,0.0630147,0.019453818,0.98901355,0.0
3374136,0.99946016,9.996628e-07,5.0,0.016927782,0.0026576007,3.4194287e-05,0.5861743407522833,0.07879834320143951,0.0,0.5861743430931238,3317.9,0.00015173727,0.023087967,0.0012077736,0.039969668,0.049868934,0.012474254,0.9914095,0.0
3375136,0.9994534,9.996628e-07,5.0,0.010361783,0.002459827,-8.673084e-06,0.23565474674939216,0.07066814000427257,0.0,0.2356547493256533,2932.391304347826,0.00021301604,0.024012314,0.0011341238,0.038261276,0.07717758,0.010540745,0.9864343,0.0
3376136,0.9994559,9.996623e-07,5.0,0.011464288,0.0023575788,-1.027396e-05,0.2992330301464168,0.07356096248871549,0.0,0.29923302984626726,2990.4736842105262,0.00015039791,0.025468308,0.0011418809,0.039457563,0.046353005,0.011496467,0.9884879,0.0
3377136,0.9994479,9.996623e-07,5.0,0.0051711258,0.0023726188,-1.2098324e-05,-0.1735483531147717,0.05075071193665887,0.0,-0.1735483543400452,1897.8666666666666,0.00016254353,0.024396967,0.0012114687,0.037115812,0.05635362,0.012721592,0.9897057,0.0
3378137,0.9994443,9.996622e-07,5.0,0.0054984707,0.0024134424,5.8129423e-05,-0.017648268995890247,0.06858187428297242,0.0,-0.017648276434325982,2765.7,0.00013161277,0.023782743,0.0011469498,0.03508938,0.040773805,0.0121305585,0.9917145,0.0
3379136,0.99944973,9.996621e-07,5.0,0.0066473945,0.002382355,4.3093492e-05,0.11697581396204744,0.06109833965456346,0.0,0.11697581115828137,2288.9583333333335,0.00029708527,0.02320204,0.0011169255,0.035674017,0.037820943,0.009937237,0.9906467,0.0
3380136,0.99945515,9.996621e-07,5.0,0.014040364,0.00237021,-2.1521777e-05,0.4010677362591947,0.0631852223912416,0.0,0.40106773937405943,2466.0,0.00017326567,0.024129584,0.0011176523,0.03685987,0.033912018,0.009867121,0.9935062,0.0
3381136,0.99945396,9.996621e-07,5.0,0.013441176,0.0023247562,-6.194795e-05,0.40675728665799116,0.07529162816410043,0.0,0.40675727829190156,2995.8076923076924,0.00011890364,0.025183154,0.0011100236,0.035152644,0.09973083,0.01651247,0.9936541,0.0
3382137,0.9994532,9.996619e-07,5.0,0.012775293,0.002452378,-5.8008172e-05,0.37097367131074344,0.06909454152586737,0.0,0.3709736733317718,2847.7428571428572,0.00017709206,0.023677727,0.0011394894,0.03408625,0.06983192,0.027212156,0.9920517,0.0
3383136,0.99944466,9.996619e-07,5.0,0.014526107,0.0023132805,-3.337175e-05,0.34369511802992747,0.07474967983155996,0.0,0.3436951190899336,3141.75,0.00014868975,0.023306418,0.0010930772,0.035905063,0.061176337,0.019260142,0.99196947,0.0
3384137,0.9994386,9.996618e-07,5.0,0.0022837808,0.0021920635,-6.869147e-05,-0.04329694065668264,0.06796209354215535,0.0,-0.043296948609712595,2932.275,0.00033673752,0.023645122,0.0010002292,0.03177008,0.05417635,0.016599901,0.9912826,0.0
