Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4188179,9.9999976e-05,0.0,-0.03989365,-0.010027498,0.03429458,0.007098867,0.022491248,0.087425746,0.16306253,2.3699973,0.3923081,0.6350174,0.39927626,-0.9967453040237955,0.22264146597849,0.8481761655873723,-0.9967453044753142,249.22222222222223
2000,1.4192663,9.9999976e-05,0.0,-0.19360223,0.031515002,0.1525725,0.0036971169,0.02432964,0.029436963,0.04647888,0.59796494,0.2031308,0.8048453,0.44505796,-0.9971564581640714,0.2157524328348377,0.751166600604812,-0.9971564584841687,254.81290322580645
3000,1.419701,9.999995e-05,0.0,-0.2800822,0.04278928,0.18186307,0.0010628278,0.023414487,0.018405072,0.04389993,0.48624235,0.15823972,0.846409,0.4110749,-0.9971212469449019,0.11674956884235144,0.5146607212153722,-0.9971212471369842,265.8695652173913
4000,1.4190398,9.999995e-05,0.0,-0.34808272,0.03982186,0.18186563,0.00082903006,0.021942059,0.013725802,0.046449605,0.43147898,0.13980155,0.8637282,0.40115014,-0.9940471352327213,0.09101107207914957,0.4923732001920576,-0.9940471344403295,275.93706293706293
5000,1.4179101,9.999995e-05,0.0,-0.29434118,0.03726382,0.21264645,0.0020997643,0.02836257,0.013250153,0.050375305,0.4734368,0.15814593,0.8515364,0.3605502,-1.0059496607636267,0.08479738111495563,0.585163490568886,-1.0059496594311275,271.021897810219
6000,1.4166474,9.999995e-05,0.0,-0.258062,0.038913686,0.26815274,0.0042040064,0.023460219,0.015278489,0.057548158,0.53468263,0.19170138,0.8265062,0.36316335,-0.9782745044778458,0.06820307922773246,0.5354214223334566,-0.978274504056256,215.39705882352942
7000,1.4161159,9.999993e-05,0.0,-0.37430245,0.039123394,0.26143706,0.0030452488,0.0254269,0.014540041,0.061924107,0.5391334,0.19539765,0.8278104,0.30687433,-0.988111331808203,0.05283226541589358,0.4093841710195517,-0.988111328158669,173.09128630705393
8000,1.416434,9.999993e-05,0.0,-0.48205614,0.034399204,0.25130957,0.0022585709,0.028076448,0.012891649,0.06156282,0.5313494,0.18969017,0.8278639,0.3206051,-0.9825801583973578,0.03860300163311573,0.33273973561220127,-0.9825801590022238,141.7689393939394
9000,1.4157963,9.9999925e-05,0.0,-0.39980805,0.030819992,0.23750015,0.0015263496,0.025594098,0.012109255,0.05593721,0.4965931,0.17366368,0.8380217,0.31571916,-0.9370845436965788,0.05682891194899437,0.4781378829179125,-0.9370845460557141,217.34722222222223
10000,1.4155486,9.999992e-05,0.0,-0.3676871,0.027624952,0.22784619,0.0013558776,0.023280976,0.010852188,0.05194511,0.47879517,0.16627258,0.8435502,0.27190688,-0.892975123331742,0.06296070768103863,0.5625347330469403,-0.8929751265662396,274.2027972027972
11000,1.4157212,9.999989e-05,0.0,-0.32330397,0.025857024,0.21107419,0.0014360861,0.022234647,0.010008665,0.05024354,0.44981766,0.15484615,0.8554593,0.30188733,-0.9021492005296093,0.06487865225040823,0.5793962357320676,-0.9021491956555006,304.4812030075188
12000,1.4163017,9.999986e-05,0.0,-0.29405916,0.02350003,0.19710639,0.0013838457,0.02378669,0.008889575,0.047184262,0.4341429,0.14861189,0.85892445,0.30173767,-0.8244475786001392,0.05851042066130723,0.563499833258463,-0.8244475746963537,306.5431034482759
13000,1.4175336,9.999986e-05,0.0,-0.2981665,0.020864777,0.19002575,0.0012619181,0.02245246,0.007864982,0.04675863,0.4148671,0.14354888,0.8668211,0.2800436,-0.8588732464278103,0.05555155364359295,0.5765514271733714,-0.8588732462109823,334.1297709923664
14000,1.4186887,9.9999845e-05,0.0,-0.2809528,0.01834926,0.18021716,0.0012031428,0.026254492,0.00723718,0.04520195,0.40689427,0.13891497,0.87282336,0.31766558,-0.8801402828403904,0.04480905342885914,0.47924548137234524,-0.8801402818251767,286.9916666666667
15000,1.41901,9.999984e-05,0.0,-0.28459603,0.016545272,0.16765596,0.0011438373,0.026911974,0.0068748603,0.042436086,0.38049293,0.12888777,0.8814213,0.27769428,-0.8559480987968244,0.047544152313675425,0.51642368173992,-0.8559480980027627,323.42622950819674
16000,1.4192331,9.999984e-05,0.0,-0.26895607,0.0153254215,0.15891448,0.0009190007,0.023986109,0.0066831396,0.040102795,0.356201,0.11821674,0.8907814,0.2733587,-0.8437917735866974,0.051042174465972215,0.5193730540049728,-0.843791772513722,357.625
17000,1.419617,9.999983e-05,0.0,-0.22478892,0.012899215,0.14472575,0.0008069847,0.027795246,0.0054427776,0.037628613,0.32742926,0.10705124,0.8986933,0.30452746,-0.906867695415082,0.051785641135647896,0.5298153343253459,-0.9068676945752816,413.08
18000,1.4192479,9.999982e-05,0.0,-0.22732203,0.011859276,0.1361986,0.0010563657,0.023439398,0.004927588,0.034382265,0.32556525,0.10781453,0.9012242,0.2880503,-0.8669362133470081,0.0529367853900033,0.6280405960762595,-0.86693621726109,494.42391304347825
19000,1.420292,9.999982e-05,0.0,-0.20324753,0.011009935,0.12014334,0.0011787079,0.023206532,0.004470417,0.032453265,0.290393,0.0928775,0.91271025,0.31947207,-0.9116160503689247,0.052254207773623454,0.5822662714655684,-0.9116160479141614,527.8135593220339
20000,1.4202008,9.999982e-05,0.0,-0.18412247,0.009997363,0.10932929,0.0014895969,0.022736227,0.004009208,0.031941876,0.27562755,0.08801286,0.91709995,0.37507534,-0.9033467137817973,0.04606696943802809,0.6120174097009727,-0.9033467140751594,544.9054054054054
21000,1.4195077,9.99998e-05,0.0,-0.19058278,0.008856651,0.11080783,0.0015097592,0.022353034,0.003928314,0.03264052,0.26810056,0.08571253,0.9192934,0.07979651540517807,-0.9081689173384803,0.045708469005946356,0.5737762052225522,-0.9081689111840463,537.6
22000,1.4201194,9.99998e-05,0.0,-0.17847827,0.009062358,0.10338987,0.0012019261,0.022457816,0.004021835,0.033144265,0.26134324,0.08223665,0.919256,0.0,-0.9328650127146616,0.05285408420262255,0.6080189161100006,-0.932865009534793,638.2205882352941
23000,1.4203224,9.999979e-05,0.0,-0.17535189,0.009089421,0.10203347,0.0010514628,0.02439463,0.004057719,0.033291537,0.24890403,0.0775387,0.9239673,0.0,-0.8983422916200772,0.05107788699602739,0.605626439534225,-0.898342288887773,605.3770491803278
24000,1.4198506,9.999974e-05,0.0,-0.20207256,0.009102366,0.099739164,0.0012864467,0.023721803,0.0040517123,0.03346224,0.24730518,0.077383004,0.92220294,0.0,-0.8949730504627714,0.04835132552558774,0.4833311232813413,-0.8949730515518111,563.6623376623377
25000,1.4206436,9.999974e-05,0.0,-0.20680225,0.008248042,0.09414975,0.0012565688,0.022989618,0.0039244373,0.03406843,0.23568267,0.07313083,0.9270442,0.0,-0.8907946866501506,0.04793330231316488,0.5204427782222459,-0.8907946871346203,597.3783783783783
26000,1.420919,9.9999736e-05,0.0,-0.20292723,0.008292192,0.08490465,0.001165981,0.02645657,0.0038901689,0.032281697,0.2151454,0.06482995,0.9325201,0.0,-0.9723718287105465,0.04394985498048995,0.3902091538809734,-0.9723718285538848,533.7058823529412
27000,1.4208256,9.999973e-05,0.0,-0.18261886,0.00789412,0.08438286,0.0013700306,0.023298051,0.003762735,0.033188097,0.20058838,0.059327785,0.934991,0.0,-0.9851329637411607,0.04468970287275771,0.4311247882552937,-0.985132962889059,583.4032258064516
28000,1.4205168,9.999973e-05,0.0,-0.21463634,0.007759911,0.0892985,0.0013790736,0.02428513,0.0038042003,0.03367769,0.20239024,0.062367037,0.93460417,0.0,-0.9767580690951775,0.045562792025616784,0.41289505913463426,-0.9767580686964861,562.7763157894736
29000,1.4197999,9.9999714e-05,0.0,-0.21589297,0.0074396497,0.081110924,0.001452532,0.023956835,0.0038524014,0.035291687,0.20197825,0.061327297,0.9345375,0.0,-0.9189530017319848,0.0401307318502678,0.40811006220382656,-0.9189530025673409,525.2530120481928
30000,1.4195352,9.9999714e-05,0.0,-0.20545426,0.0076161977,0.08304022,0.0014790331,0.023635117,0.0040671853,0.034770377,0.20778161,0.06488808,0.9313692,0.0,-0.9733509962481662,0.04190163799212314,0.3808194681724103,-0.973350996550748,504.25
