Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
3293741,1.1411936,9.996706e-06,0.0,-0.009972844,0.004306311,-1.0100193258191719,0.0010654317008972657,-1.0100193237415498,25.852459016393443,0.0072528548,0.024535371,0.007929926,0.0209266
3294741,1.1411837,9.996706e-06,0.0,0.052962296,0.00492759,0.5012393945775878,0.022977317503694118,0.5012393935629242,401.968253968254,0.0023599872,0.022186767,0.0026860621,0.022544693
3295741,1.1411719,9.996705e-06,0.0,0.059070893,0.005112254,0.22393377547131796,0.021731756650842725,0.22393377319041313,377.7529411764706,0.0025082151,0.025774043,0.0026355253,0.021870803
3296741,1.1411275,9.996703e-06,0.0,0.076437235,0.005119676,0.3438790468122117,0.02166438262617911,0.3438790524991381,405.6144578313253,0.002015129,0.025328478,0.0023835683,0.02251783
3297741,1.1410984,9.996702e-06,0.0,0.10954231,0.00526703,0.4200968961599756,0.022812508657807484,0.42009689674982226,437.71875,0.0021122554,0.028647836,0.002578949,0.02247414
3298742,1.1410741,9.996701e-06,0.0,0.107203096,0.0057200985,0.33917718559797455,0.020952496951976485,0.33917718855681056,386.12295081967216,0.0019156702,0.025965467,0.0027383373,0.021263741
3299742,1.1410508,9.996701e-06,0.0,0.116567925,0.005778237,0.3255404638205676,0.020792690653202904,0.3255404627445141,363.2162162162162,0.0019809855,0.022244534,0.0028036279,0.021497242
3300741,1.141006,9.9967e-06,0.0,0.10199882,0.00552103,0.2903762850861919,0.020259536414024688,0.29037628143214267,360.76190476190476,0.0017615773,0.02396545,0.0024981953,0.0219639
3301741,1.1409366,9.996699e-06,0.0,0.11435784,0.0054538576,0.3940667468903322,0.02247367498388809,0.39406674447429185,422.9207920792079,0.0014730896,0.026424432,0.0025135577,0.022604419
3302741,1.1409307,9.996698e-06,0.0,0.12525834,0.005317157,0.4076016909944208,0.021425016447163627,0.4076016902567031,421.49484536082474,0.0019308795,0.023829285,0.0024877985,0.021401953
3303742,1.1409199,9.996697e-06,0.0,0.11342748,0.0052206847,0.3635137039361844,0.019387406011973727,0.3635137020671062,367.0747663551402,0.0013935996,0.024245113,0.0026032026,0.021560611
3304741,1.1409205,9.996696e-06,0.0,0.11904312,0.005490511,0.34496402995979514,0.020094145679123404,0.3449640299326796,369.1842105263158,0.0014227974,0.021653904,0.0026169412,0.02137889
3305741,1.1408752,9.996695e-06,0.0,0.1343486,0.0054404633,0.45659556748307867,0.020556682679917417,0.4565955648249497,381.2929292929293,0.0011955397,0.021857223,0.002610528,0.021720218
3306741,1.14083,9.996695e-06,0.0,0.11168655,0.005226492,0.3132841129010738,0.018913019686466553,0.31328411614763724,370.4175824175824,0.0012099664,0.023085056,0.002252154,0.022013616
3307741,1.1407886,9.996692e-06,0.0,0.08078,0.005403059,0.14096702933545657,0.01800279609278732,0.14096702730391691,351.921875,0.001666702,0.02311157,0.0026403947,0.022025071
3308741,1.1407576,9.996691e-06,0.0,0.10033375,0.0052823857,0.25685183825386265,0.01929007135654366,0.2568518388293126,351.45544554455444,0.0012439571,0.021994941,0.0024531595,0.022123905
3309741,1.1407531,9.996691e-06,0.0,0.12585722,0.0051486446,0.4818737900440255,0.022538169219336213,0.48187378718808027,433.2371134020619,0.0013155545,0.02360654,0.0025508082,0.021888651
3310741,1.1407701,9.996688e-06,0.0,0.10613374,0.0054466487,0.3630447255563922,0.02152340091500567,0.36304472838861584,406.53125,0.0017808485,0.019038428,0.0025102133,0.022604119
