Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
34000,1.4141383,9.999966e-05,0.0,-0.28093725,0.006348202,0.09739952,0.002050935,0.024234422,0.0027704907,0.01953885,0.20804738,0.07553275,0.93859935,0.0,-0.9235406254610965,0.02052530370754,0.33314942341399323,-0.923540622000295,354.60185185185185
35000,1.4134305,9.999963e-05,0.0,-0.2512529,0.006526048,0.09864874,0.0024842427,0.024088785,0.0027346292,0.019878209,0.20448829,0.07599477,0.93976814,0.0,-0.8792140770748725,0.02002644619399992,0.33927204252060555,-0.8792140760073001,349.4824561403509
36000,1.412599,9.999962e-05,0.0,-0.26526177,0.005810461,0.09014173,0.0019784356,0.024820887,0.002606691,0.01912538,0.17991169,0.066792004,0.9467532,0.0,-0.916574863259703,0.020491523281196824,0.3275360844868121,-0.9165748605415095,380.43518518518516
37000,1.4112577,9.999962e-05,0.0,-0.25588122,0.00597407,0.0863785,0.002005923,0.02271568,0.0027707608,0.020598097,0.1734018,0.06766243,0.95104694,0.0,-0.897221519219627,0.021595465627555946,0.3226835538918299,-0.8972215156830295,385.2244897959184
38001,1.411152,9.999961e-05,0.0,-0.25269675,0.005590429,0.083392635,0.0021851824,0.022053415,0.0026665425,0.021451216,0.16250415,0.063126445,0.9528279,0.0,-0.8531966300254816,0.022591863186680713,0.34231561675035665,-0.8531966299163238,410.03
39000,1.4111732,9.9999605e-05,0.0,-0.27141204,0.0053594443,0.076613784,0.0022191592,0.022702783,0.0027298145,0.020507758,0.15252563,0.05934815,0.9566945,0.0,-0.8766994087739022,0.021066136893261082,0.27297652324289,-0.8766994089355695,374.4807692307692
40000,1.4108707,9.9999605e-05,0.0,-0.26528883,0.0057894387,0.076384485,0.0022371204,0.023282774,0.0028500296,0.022405554,0.1550557,0.06269372,0.95739836,0.0,-0.8953707904602136,0.019742490252823913,0.2687866074550621,-0.8953707897051429,338.44144144144144
41000,1.4102839,9.999959e-05,0.0,-0.24801758,0.005789454,0.07800085,0.0023430106,0.023922049,0.0029636608,0.021856377,0.15212052,0.060632024,0.95799845,0.0,-0.9270558932440515,0.02388162473420097,0.32306197452736546,-0.9270558963690286,396.07766990291265
42000,1.4100742,9.999959e-05,0.0,-0.27179995,0.0060236747,0.07101399,0.0024626013,0.021926222,0.0031802673,0.021506455,0.14642952,0.058290347,0.959779,0.0,-0.9117279415244053,0.022713371532011136,0.2497535385942743,-0.9117279421082711,353.655737704918
43000,1.4099131,9.999959e-05,0.0,-0.24741052,0.0057697115,0.06915047,0.002783972,0.024583982,0.0033120692,0.021637341,0.14176968,0.057508808,0.9620771,0.0,-0.9201455382899105,0.022134516144132907,0.241224270244575,-0.9201455449016872,328.04587155963304
44000,1.4097619,9.999957e-05,0.0,-0.2665277,0.0053549935,0.060706675,0.0023000569,0.02423253,0.0032530234,0.02006504,0.11974709,0.046249185,0.966777,0.0,-0.9346783573946189,0.020901175912439337,0.19545723208011254,-0.9346783570927235,315.5284552845528
45000,1.4099667,9.999956e-05,0.0,-0.25429767,0.0056579765,0.06355144,0.0024575605,0.021576082,0.003459453,0.019903377,0.124435395,0.04950454,0.96602494,0.0,-0.9637995226191404,0.024498841168384092,0.21206062432828543,-0.963799523666776,347.3873873873874
46000,1.409715,9.999956e-05,0.0,-0.2706944,0.0066602784,0.05867139,0.0019270396,0.02342906,0.003485703,0.02221948,0.11834301,0.04659617,0.9679202,0.0,-0.903295804339401,0.02455748682553196,0.21409155161128401,-0.9032958038248043,351.0619469026549
47000,1.4096504,9.999952e-05,0.0,-0.30539104,0.007277942,0.058847085,0.0019307028,0.02361089,0.0036971462,0.021945123,0.120749146,0.047572445,0.9671451,0.0,-0.9043916287548516,0.025689886715617435,0.20391273037625385,-0.9043916267061379,345.44347826086954
48001,1.4096242,9.999952e-05,0.0,-0.28440216,0.007670636,0.05539818,0.002186276,0.026589561,0.0037802714,0.021231622,0.109378055,0.04205267,0.9699111,0.0,-0.8629844217466779,0.027281039729926057,0.2081233130728425,-0.8629844208446951,357.4909090909091
49000,1.409743,9.99995e-05,0.0,-0.29255506,0.008092146,0.051601738,0.002216505,0.025223857,0.003869834,0.021063864,0.1148092,0.04560347,0.9707358,0.0,-0.9237646834646684,0.027247466112618357,0.1934429741896562,-0.9237646835971681,345.5897435897436
50000,1.4094241,9.999949e-05,0.0,-0.25378233,0.008126395,0.052960288,0.0019142143,0.026251983,0.0038975617,0.020351779,0.10888438,0.043711424,0.9719565,0.0,-0.869620359107751,0.02930162235541235,0.20271434534257526,-0.8696203568808923,368.35779816513764
51000,1.4093262,9.999949e-05,0.0,-0.23517194,0.007888065,0.055233482,0.0019083384,0.024335533,0.003892423,0.01865322,0.11021108,0.04374907,0.971052,0.0,-0.8840716796506665,0.027547476550431122,0.19374082240261226,-0.8840716810634623,348.1714285714286
52000,1.4085351,9.999949e-05,0.0,-0.2659896,0.007924257,0.0517068,0.0016875841,0.024783785,0.0038489532,0.018479852,0.093311876,0.035854753,0.9755612,0.0,-0.8614873726975495,0.029525817520598966,0.16772280755118035,-0.8614873717828325,361.55454545454546
53000,1.4084224,9.999947e-05,0.0,-0.22602735,0.007322248,0.05295421,0.0015393021,0.024341304,0.00372132,0.020376313,0.09443251,0.037267275,0.97640777,0.0,-0.8604336726816234,0.02979563445202075,0.18628380558102436,-0.8604336759518731,379.9
54000,1.4081951,9.999947e-05,0.0,-0.23449825,0.0076405513,0.05017414,0.0018516177,0.021225292,0.003742811,0.021619646,0.09621495,0.038039517,0.97550684,0.0,-0.8796244960933266,0.029497690316576747,0.18207122736140574,-0.8796244974041628,387.9126213592233
55000,1.4084635,9.999947e-05,0.0,-0.27680984,0.007590308,0.046400063,0.0017823211,0.022303224,0.003484272,0.020252593,0.084886745,0.033111215,0.9784654,0.0,-0.8946997197911585,0.028784199522376114,0.1695181601785739,-0.8946997229452278,393.34615384615387
56000,1.408458,9.999946e-05,0.0,-0.23756154,0.006806152,0.048486326,0.0018371255,0.02237238,0.003605439,0.02045501,0.09131033,0.035013996,0.9765616,0.0,-0.8370807009466839,0.027960060255712158,0.18012771011556147,-0.8370807003531435,383.1505376344086
57000,1.4082292,9.999945e-05,0.0,-0.2358618,0.0062667527,0.045523893,0.0014425421,0.026986547,0.0035701848,0.019446418,0.08311401,0.032790124,0.9794883,0.0,-0.8086204248520962,0.03242528922701426,0.19172884236364615,-0.8086204260273816,446.0612244897959
58000,1.4076678,9.9999415e-05,0.0,-0.22724912,0.0067272144,0.041687902,0.0013803374,0.025871065,0.003448259,0.019966396,0.081550196,0.031592205,0.9795736,0.0,-0.8860425729414664,0.02780500282239083,0.14107135751529934,-0.886042570601333,393.60919540229884
59000,1.407842,9.99994e-05,0.0,-0.2143674,0.006367397,0.04189634,0.0011274623,0.027600594,0.0033900992,0.021504179,0.08794739,0.03434475,0.97787875,0.0,-0.7194096195636643,0.03067255422190231,0.16785493917118832,-0.7194096223810315,429.35714285714283
60000,1.4073403,9.999939e-05,0.0,-0.20434292,0.006877108,0.040919,0.0015927893,0.02165108,0.003394433,0.021806514,0.082299225,0.031644538,0.9795738,0.0,-0.7850394472833119,0.02712641051369143,0.1587243097400347,-0.7850394419795264,386.3814432989691
61000,1.4070239,9.999937e-05,0.0,-0.17886057,0.006918624,0.042758312,0.0017294848,0.024007872,0.0033241636,0.021565558,0.08454904,0.031546723,0.9779033,0.0,-0.7112489567216776,0.02929952204094759,0.20799732658020004,-0.7112489576812577,434.1720430107527
62000,1.4063618,9.999937e-05,0.0,-0.20007104,0.007241304,0.0405975,0.0017680177,0.021441571,0.0033037467,0.022622263,0.08050488,0.031255104,0.98024726,0.0,-0.8334102574630481,0.025038169058002793,0.1285519911535781,-0.8334102547220381,368.0841121495327
63000,1.4061416,9.999937e-05,0.0,-0.18229215,0.0067732017,0.042892907,0.0019182964,0.024970695,0.0031974055,0.022662377,0.09102972,0.03484558,0.97665685,0.0,-0.6319481810112129,0.027749298823331374,0.19211977308183906,-0.6319481834015005,415.7674418604651
64000,1.4057398,9.999936e-05,0.0,-0.19682424,0.0065832026,0.041187458,0.0018968413,0.024110911,0.003304687,0.023730755,0.093076706,0.035710074,0.97761446,0.0,-0.6940666751587833,0.02707008693832904,0.17201269074729056,-0.6940666763601885,408.29
65000,1.4054775,9.999935e-05,0.0,-0.19820079,0.007612251,0.041362625,0.0018740061,0.023557898,0.0031934134,0.02192173,0.082181975,0.030959133,0.9798657,0.0,-0.7213897339173198,0.026682745742922027,0.1897863162704258,-0.7213897340458935,396.98039215686276
66000,1.4059211,9.999935e-05,0.0,-0.1726606,0.0073834183,0.04202255,0.0020941487,0.021597562,0.0032332628,0.024479888,0.08885224,0.03386081,0.97750163,0.0,-0.6608743937916779,0.025953174063470214,0.15889972908286837,-0.6608743932975781,387.31
67000,1.4058743,9.999934e-05,0.0,-0.15868758,0.0066907126,0.043966293,0.0023105282,0.024276527,0.0033276007,0.023768788,0.09715071,0.037855312,0.97582895,0.0,-0.5329348480673192,0.026080499042347705,0.17918154667961983,-0.5329348483494742,388.747572815534
68000,1.4057713,9.9999335e-05,0.0,-0.20357983,0.0072507937,0.035419926,0.0017910006,0.022247745,0.0033267485,0.022563446,0.08110067,0.030114079,0.97983277,0.0,-0.7218642424465869,0.026307613834604743,0.14554842609373428,-0.7218642445045873,389.188679245283
69000,1.4058559,9.999933e-05,0.0,-0.17075028,0.007266069,0.035700686,0.0019504377,0.02492983,0.0033227839,0.021071734,0.078971505,0.029978808,0.9814047,0.0,-0.6425038138965562,0.02747269891941747,0.1476398036765217,-0.6425038159977625,398.83505154639175
70000,1.4059304,9.999929e-05,0.0,-0.12976195,0.0066706836,0.042342853,0.001672154,0.023405857,0.003271542,0.022565067,0.08668779,0.03300643,0.9784007,0.0,-0.5062450034086661,0.02955835412073692,0.20720962142198576,-0.5062450025932359,448.27848101265823
71000,1.4057014,9.999928e-05,0.0,-0.13752174,0.007444626,0.04356223,0.0019729352,0.02313118,0.0033569273,0.023076484,0.08807533,0.0333904,0.97797513,0.0,-0.6058699401640816,0.027691552467657393,0.162820937202515,-0.6058699398694021,401.2169811320755
72000,1.4056761,9.999927e-05,0.0,-0.13108991,0.007950405,0.04192599,0.002712848,0.023751676,0.0034171988,0.023415178,0.09660858,0.03667403,0.97576064,0.0,-0.47827018576354735,0.026547176498627544,0.17111727798983836,-0.4782701884523285,378.84313725490193
73000,1.405557,9.9999255e-05,0.0,-0.15020372,0.0072124363,0.041865956,0.0022692622,0.026735151,0.0034114951,0.022151314,0.088069275,0.033639412,0.9782083,0.0,-0.527102963309153,0.027008019270752335,0.16641887274158818,-0.527102962414587,386.0095238095238
74000,1.4053429,9.9999255e-05,0.0,-0.10577898,0.0074415263,0.04646017,0.0024467446,0.022330103,0.0032222094,0.023672055,0.097769946,0.0369474,0.9754897,0.0,-0.46112242110126317,0.02730432205775287,0.18534969198998397,-0.46112242465750053,396.86
