Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
5964644,1.1318326,9.994037e-07,5.0,0.024644481,0.0041462095,-1.005312403043111,0.008290502786015471,-1.0053123913727404,102.33333333333333,0.00024611765,0.02079518,0.0021297992,0.018053573
5965643,1.1318208,9.994035e-07,5.0,0.020234121,0.0038413838,-0.9046852846804541,0.021299391286447644,-0.9046852739424374,532.0,8.505123e-05,0.02384442,0.0018010779,0.01971837
5966643,1.1318241,9.994035e-07,5.0,0.021099364,0.0037517273,-0.7801044794614427,0.03372030158061534,-0.780104458382854,878.0,8.053564e-05,0.025766501,0.0017982792,0.022112926
5967643,1.1318303,9.994034e-07,5.0,0.0097271,0.0035525707,-0.7800003205338726,0.04243757589655514,-0.7800003250044746,1072.6666666666667,0.00018046987,0.024007704,0.0017345677,0.021492993
5968643,1.1318465,9.994034e-07,5.0,0.019336872,0.0037990222,0.18853192595634027,0.06519196553563233,0.18853191741023306,1410.75,0.00023679323,0.02088656,0.001927318,0.022943934
5969643,1.1318511,9.994029e-07,5.0,0.028672563,0.0041614077,0.7684026482468198,0.08777613169149845,0.7684026431963129,2061.125,0.0002979679,0.024328021,0.0020099494,0.021477444
5970643,1.131863,9.994029e-07,5.0,0.03326881,0.004209367,0.8269284663230791,0.09746646594139748,0.8269284647309665,2338.1,0.0001153756,0.022309853,0.0020419792,0.021248594
5971643,1.1318719,9.994029e-07,5.0,0.032549556,0.004147396,0.722917459219855,0.09546026435847847,0.7229174566001506,2372.5641025641025,0.00035393052,0.022798518,0.002019054,0.02179996
5972643,1.1318719,9.994027e-07,5.0,0.029812692,0.0041860784,0.7348207872482351,0.0983235546207139,0.7348207871768744,2543.769230769231,0.00019902205,0.02216567,0.0020099287,0.020385453
5973643,1.131877,9.994027e-07,5.0,0.03506965,0.004252658,0.7802210099654123,0.10491161643049533,0.7802210112469264,2704.1315789473683,0.00013351119,0.022385642,0.0020880168,0.020659812
5974643,1.1318858,9.994027e-07,5.0,0.044450775,0.0044533187,0.8255783707436243,0.116088768539496,0.8255783707473501,2990.529411764706,0.0001487164,0.023743706,0.002129978,0.020308632
5975643,1.131885,9.994027e-07,5.0,0.03337137,0.0043118796,0.6799353386375878,0.10193649941938929,0.679935339771716,2457.32,0.00012422327,0.024192307,0.0020857179,0.021059891
5976643,1.1318891,9.994023e-07,5.0,0.036129218,0.0043168543,0.8762978240599425,0.10677458652883486,0.8762978229812245,2541.0,0.0001449082,0.025639964,0.0020865824,0.02071743
5977643,1.1318841,9.99402e-07,5.0,0.031664465,0.004411273,0.5582894541647485,0.09893163599190302,0.5582894525810493,2308.714285714286,0.0002763628,0.023736136,0.0021511945,0.019821556
5978644,1.131893,9.994021e-07,5.0,0.028729215,0.0044171982,0.7127960903299391,0.09426731191575527,0.712796091813514,2084.24,0.00024307542,0.023462126,0.0021153814,0.020048603
5979643,1.1319016,9.994019e-07,5.0,0.029767638,0.0042282594,0.7662642171245742,0.09948798473176014,0.7662642155135752,2229.285714285714,0.0001919842,0.023447694,0.001999119,0.02091452
5980643,1.1319033,9.99402e-07,5.0,0.029993946,0.0041059945,0.8281400015805828,0.09499566017724906,0.8281400039077951,2164.214285714286,0.0002043145,0.022493059,0.0020057713,0.021739751
5981644,1.1319152,9.994019e-07,5.0,0.031772424,0.0042119436,0.7618113255671738,0.10212322304465084,0.7618113280121772,2354.9444444444443,0.00020476873,0.023907896,0.0020439958,0.020793509
5982643,1.1319208,9.994019e-07,5.0,0.02369785,0.004120068,0.600772560387747,0.10671784909525582,0.600772560275477,2467.5434782608695,0.00024807727,0.024248727,0.0019000641,0.020291649
5983643,1.1319389,9.994018e-07,5.0,0.024817757,0.0039859237,0.7312641306660284,0.10953239740845147,0.7312641329515551,2645.9032258064517,0.00019058397,0.023397263,0.0019780165,0.019551259
5984643,1.1319536,9.994018e-07,5.0,0.024116458,0.004157471,0.5541081747472466,0.09777059404283743,0.5541081732188736,2334.4166666666665,0.000105971594,0.02434569,0.0020340774,0.021648042
5985644,1.1319603,9.994017e-07,5.0,0.034561183,0.0043781823,0.758168594327734,0.10467138771387649,0.7581685994872182,2500.0,0.00011468832,0.02343729,0.0020610415,0.0206242
5986643,1.1319511,9.994017e-07,5.0,0.03302885,0.004387817,0.5716763666641395,0.09887007970865717,0.5716763625183305,2344.808510638298,0.0003097526,0.023122557,0.0020784875,0.020995751
5987644,1.1319467,9.994013e-07,5.0,0.018987777,0.004173974,0.5666420692582809,0.0981475266564909,0.5666420747191772,2277.0666666666666,0.00034702648,0.023009485,0.0019536247,0.01957157
5988643,1.1319381,9.994012e-07,5.0,0.027357506,0.004147058,0.6545371069493203,0.10295806067565885,0.6545371015087045,2384.948717948718,0.00027561435,0.023343718,0.0020310595,0.021242967
5989644,1.1319267,9.994011e-07,5.0,0.023051769,0.0040966943,0.6014503867197997,0.09243899213106488,0.6014503858443075,2106.5416666666665,0.00014919299,0.023617724,0.00199274,0.021291735
5990643,1.1319242,9.994011e-07,5.0,0.016859114,0.004001405,0.38223676788164024,0.0994981691875527,0.38223676698946263,2394.1724137931033,0.0002342374,0.024314068,0.0019120879,0.01972297
5991643,1.131921,9.994009e-07,5.0,0.016827341,0.0039571193,0.5778371337307292,0.1053291024470057,0.5778371353286572,2495.9615384615386,0.0001704372,0.023184348,0.0019058952,0.02118155
5992643,1.1319131,9.994009e-07,5.0,0.016242053,0.003907436,0.4510392314137529,0.09458617679081813,0.45103923579401406,2207.0,0.00030914386,0.024031105,0.0019157048,0.021842092
5993643,1.1319253,9.994009e-07,5.0,0.01906364,0.0040341853,0.5255992636499514,0.09731774639840296,0.5255992640043378,2296.875,0.00030259922,0.022869734,0.0019994557,0.020882491
5994644,1.1319175,9.994008e-07,5.0,0.026824767,0.004266204,0.6972935202584387,0.11281511063096236,0.6972935178602493,2807.2631578947367,0.00012044268,0.023676608,0.0020386747,0.021297948
5995643,1.1319215,9.994005e-07,5.0,0.017055484,0.0039082854,0.5335680254172205,0.10833220650030333,0.5335680296024892,2681.1785714285716,0.00019618464,0.024186723,0.0018125849,0.02179414
5996643,1.1319233,9.994004e-07,5.0,0.02433154,0.0040768576,0.36872805081150417,0.1149671212686891,0.36872804586261815,2789.285714285714,0.00029387264,0.022790223,0.0019584592,0.02060232
5997643,1.1319277,9.994002e-07,5.0,0.029863307,0.004339737,0.5390024102160977,0.10823383116561065,0.5390024094267362,2580.3611111111113,0.00021650655,0.022710998,0.0021522357,0.019555187
5998644,1.1319371,9.994002e-07,5.0,0.03653719,0.004561769,0.6834904816170606,0.1127011414449525,0.683490483666265,2787.264705882353,0.00030178943,0.021545991,0.0022654384,0.019620728
5999643,1.1319386,9.994002e-07,5.0,0.033629257,0.004649963,0.6430152401907866,0.10422998287417852,0.6430152410091313,2411.842105263158,0.00034339126,0.024870034,0.0021995716,0.018724868
6000643,1.1319474,9.994002e-07,5.0,0.030889397,0.004472198,0.7455207596351501,0.11148167865438864,0.7455207586801758,2693.170731707317,0.0002166888,0.02327266,0.002054225,0.018736076
6001643,1.1319606,9.994e-07,5.0,0.032627683,0.0043920563,0.6415060867817644,0.10324808553451914,0.6415060851346174,2378.0,0.00023465115,0.02420964,0.0021276276,0.019547354
6002643,1.1319617,9.994e-07,5.0,0.0358249,0.004321335,0.7736762661514263,0.1026783658817294,0.7736762655177706,2302.4375,0.00018382943,0.023817845,0.0020998633,0.019325253
