Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
1643949,1.1424438,8.3565545e-05,4.0,0.09231349,0.0035412947,0.024376702,-0.09930957447979533,0.0023090865241640183,0.04224186824043185,-0.09930957683452635,102.99638989169675,0.005930388,0.035967384,0.0016440507,0.02429082,0.13244414,0.039487693,0.97115964
1644949,1.1418071,8.355555e-05,4.0,-0.029730037,0.0033401712,0.03354561,-0.1132490315627365,0.0036997153261268067,0.06948742099991043,-0.11324903833613006,124.821875,0.0028291657,0.0359866,0.0014029308,0.01904568,0.12982433,0.038975023,0.9686003
1645949,1.1408696,8.354555e-05,4.0,-0.06281659,0.0032413173,0.040973894,-0.11661458202455617,0.003450178410948205,0.08794238342354327,-0.1166145883408558,125.75577557755776,0.0026714227,0.034169354,0.0013387032,0.018615268,0.14030576,0.044585776,0.96366125
1646949,1.1403452,8.353555e-05,4.0,-0.10343131,0.0031651496,0.043160252,-0.2118082852202123,0.0036383527896169973,0.07305427776879174,-0.2118082930407852,127.58445945945945,0.002978341,0.03475458,0.0013390074,0.017871156,0.119870596,0.037612468,0.9694006
1647950,1.1400512,8.352554e-05,4.0,-0.0931523,0.0029877874,0.04405171,-0.12568700412539444,0.0033211626835984148,0.06290003703967723,-0.12568700974730723,126.73584905660377,0.0024838247,0.0354279,0.0013053768,0.0175365,0.11649119,0.036595225,0.9716328
1648949,1.1404965,8.3515544e-05,4.0,-0.11253316,0.0027857686,0.04152337,-0.17418819039666197,0.003615743326882729,0.060930561922009414,-0.17418819585155132,127.93506493506493,0.002413638,0.03417661,0.0013280634,0.016895723,0.1113783,0.033806633,0.97158474
1649949,1.1409117,8.350555e-05,4.0,-0.0881728,0.002754036,0.04050458,-0.15257840193268676,0.003674642283875185,0.06123901147714818,-0.15257840205138515,119.8533724340176,0.0030520891,0.034619242,0.0014495042,0.017844213,0.10554437,0.029595103,0.97272944
1650949,1.1408926,8.349554e-05,4.0,-0.07469212,0.0025614095,0.039940033,-0.08071595048011275,0.0032045844968904376,0.05871063757785657,-0.080715954027594,119.72360248447205,0.0025642244,0.034296256,0.0013216864,0.018422762,0.114092164,0.034034967,0.9719478
1651949,1.1404808,8.3485545e-05,4.0,-0.08096193,0.0027164577,0.038390875,-0.13321385034889785,0.003404189858932925,0.04559738580595271,-0.13321385243145556,115.74550898203593,0.0026871911,0.032801226,0.0013988365,0.018663866,0.09988895,0.030211672,0.9760401
1652949,1.1398556,8.347555e-05,4.0,-0.079267204,0.0027457303,0.042852107,-0.12199113636402986,0.0034217851971670124,0.06590160219750843,-0.1219911337407673,125.2,0.0028165877,0.034890115,0.0013609978,0.017855944,0.1074885,0.033249974,0.9730576
