Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
2256047,1.0384499,9.999998e-05,5.0,0.024051161,0.0034663167,0.00063971564,-1.0422269387636334,0.005668419779145292,0.0,-1.042226957838076,166.71428571428572,0.0003838062,0.023715734,0.0020038614,0.0583325,0.11623841,0.028373307,0.97008246
2257047,1.0383357,9.9999976e-05,5.0,0.030089099,0.0033014691,0.00056159176,-1.1256786457836694,0.021481655055790076,0.0,-1.1256786487427755,430.7142857142857,0.0003016319,0.026013315,0.0018285549,0.056733605,0.1330752,0.016850358,0.96516293
2258047,1.0382935,9.9999976e-05,5.0,0.0266065,0.003482721,0.00053334143,-0.6208490293938667,0.03502102574566379,0.0,-0.6208490407530007,830.0,0.000413101,0.02517584,0.0018994007,0.054642316,0.098305665,0.03070808,0.97830683
2259046,1.0380126,9.9999976e-05,5.0,0.043166194,0.0043337387,0.00064614974,0.3476568365967978,0.048838478956895415,0.0,0.34765683642416434,1214.1875,0.00023210392,0.02448367,0.0019948697,0.054280624,0.09522422,0.023429474,0.98673034
2260047,1.0380267,9.999998e-05,5.0,0.07341545,0.0043803807,0.0005237276,0.8018464961867973,0.05617332404704187,0.0,0.8018464971271687,1443.0172413793102,0.00031047472,0.024799379,0.002288373,0.056756426,0.08973174,0.025815267,0.9828134
2261047,1.0382556,9.9999976e-05,5.0,0.059547234,0.004780379,0.00013692092,0.621858998608756,0.06193649688373423,0.0,0.621859000162917,1543.9333333333334,0.0003361433,0.022669375,0.0021401108,0.058315337,0.10027053,0.02220049,0.98244756
2262046,1.0380976,9.9999976e-05,5.0,0.04030312,0.004441612,-2.4112438e-05,0.1827563761930483,0.05193004415979466,0.0,0.18275635811621144,1143.3846153846155,0.00035084123,0.023878392,0.0020915037,0.057965904,0.07393112,0.020567782,0.9858268
2263047,1.038016,9.999998e-05,5.0,0.037491415,0.0037477852,-0.00051335595,0.1900102753048379,0.04973594126332661,0.0,0.19001027703347972,1060.6470588235295,0.00041332137,0.024549931,0.002019099,0.056111358,0.07111758,0.015875313,0.9828421
2264047,1.0378879,9.9999976e-05,5.0,0.058102187,0.0039140116,-0.0002191193,0.8147540422214661,0.06225589552195743,0.0,0.8147540408381175,1416.09375,0.00034579998,0.025736721,0.0020916185,0.057135545,0.08427949,0.01890236,0.97828484
2265046,1.0384164,9.9999976e-05,5.0,0.05822018,0.0036975504,0.00017192464,0.7095554846539838,0.060387812522915946,0.0,0.7095554830869941,1410.258064516129,0.0003676445,0.021746172,0.0020794685,0.058528855,0.07455557,0.018922614,0.98237514
