Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
7449934,1.3369716,2.551313e-07,4.0,0.15231603,0.0028247135,-6.7967944e-06,0.3314007671030201,0.0014901169521624093,0.0,0.3314007630325502,68.9001996007984,0.003135543,0.0356499,0.0015862529,0.011940911,0.13793464,0.04194078,0.97155356
7450934,1.3369743,2.5503127e-07,4.0,0.14559934,0.002839058,-5.6444646e-06,0.32549123181212897,0.002124786196805047,0.0,0.325491224719828,71.03932584269663,0.0029259305,0.03353759,0.0014410797,0.0114166215,0.15441489,0.0376767,0.96404135
7451935,1.3369756,2.5493125e-07,4.0,0.15068136,0.0028418282,-7.672414e-06,0.3405413918165277,0.002122813822719266,0.0,0.34054138388480476,71.89028776978417,0.0023919542,0.03692261,0.0014243731,0.011426083,0.15954049,0.036863297,0.9609314
7452934,1.3369706,2.5483126e-07,4.0,0.15236954,0.0028578448,-7.3439824e-06,0.353201621144872,0.0020995516299381805,0.0,0.35320161691122204,71.78947368421052,0.0022212784,0.033176903,0.0014167279,0.011324773,0.17000511,0.044391803,0.955045
7453934,1.3369663,2.5473133e-07,4.0,0.13950564,0.0028487155,-1.0284053e-05,0.3435292343878688,0.0020914701708499685,0.0,0.3435292246576864,75.61787072243347,0.0018682079,0.03318977,0.0013229189,0.011329413,0.14267732,0.04054826,0.96343595
7454934,1.3369659,2.5463135e-07,4.0,0.14115319,0.0028475584,-7.256348e-06,0.3271072654820357,0.0021591487956488875,0.0,0.32710725836045557,74.18959107806691,0.002387985,0.03312282,0.0013490802,0.011558733,0.13726635,0.038379196,0.96589255
7455934,1.3369677,2.5453133e-07,4.0,0.14118876,0.002841416,-7.049934e-06,0.351305902920583,0.0020032623994657548,0.0,0.35130589648889976,73.4647619047619,0.0025281527,0.035920527,0.0013409461,0.010807255,0.14361328,0.040629305,0.967284
7456935,1.3369668,2.5443128e-07,4.0,0.1488247,0.0028408165,-6.4126993e-06,0.3578815498556179,0.002183837281454335,0.0,0.35788154649266746,73.99236641221374,0.0019644648,0.033950385,0.0014154346,0.011079333,0.15420511,0.04179065,0.9593264
7457935,1.3369656,2.5433124e-07,4.0,0.15341039,0.0028406985,-6.457328e-06,0.33734832713214147,0.00206463571230282,0.0,0.33734831803155757,72.23260073260073,0.0027749948,0.037181474,0.0013770454,0.0109274825,0.13733749,0.036043946,0.9617331
7458934,1.3369662,2.542313e-07,4.0,0.14490692,0.0028345287,-8.794897e-06,0.34525724954966264,0.0019996255965727293,0.0,0.34525724508863914,71.29872495446266,0.0022798332,0.036229957,0.001375296,0.0106187975,0.1306063,0.040427018,0.9645621
