Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
2683376,1.0463665,9.997318e-07,5.0,0.012655965,0.0026891215,-7.4808763e-06,-1.0815027244389057,0.006816030741902068,0.0,-1.0815027357275895,105.5,0.00016000665,0.026291285,0.0016989518,0.05507967,0.06684445,0.019257367,0.98513556
2684376,1.0463583,9.997315e-07,5.0,0.014158548,0.0025156324,2.3821683e-05,-0.9566822950728238,0.014395718986634165,0.0,-0.9566822550077347,497.0,3.6816407e-05,0.023753706,0.0011959681,0.050619047,0.037510723,0.009908313,0.99125874
2685376,1.046353,9.997314e-07,5.0,0.014700681,0.0023436206,6.519485e-06,None,None,None,None,None,2.6166652e-05,0.024886262,0.0010947207,0.048211783,0.03595886,0.009072589,0.99102294
2686376,1.0463487,9.997314e-07,5.0,0.01767071,0.0023825131,-1.8383082e-05,-1.369716758839786,0.03199630248127505,0.0,-1.3697167048244694,928.0,6.527421e-05,0.02561695,0.0012668801,0.050939746,0.09162535,0.01650729,0.9907565
2687376,1.0463382,9.997312e-07,5.0,0.015003362,0.0024541498,-1.0620156e-05,-0.7358567148912698,0.04319768035202287,0.0,-0.7358566900557404,1461.5,5.9130085e-05,0.023984909,0.001212804,0.04737275,0.060751222,0.01423726,0.98320776
2688376,1.0463349,9.997312e-07,5.0,0.013944404,0.002392993,8.758608e-07,-0.08345340024097822,0.04613322033546865,0.0,-0.08345339522673853,1567.2,0.0001159388,0.02371055,0.001142157,0.044683464,0.04675415,0.013033391,0.9903084
2689376,1.046336,9.997311e-07,5.0,0.01694072,0.0024454098,-1.5240189e-05,0.6654675728993121,0.06395196466473863,0.0,0.6654675741059703,2233.0,8.9546134e-05,0.021509523,0.0012325357,0.045586012,0.044553585,0.011636653,0.99147433
2690376,1.0463321,9.99731e-07,5.0,0.019088661,0.0025659841,9.135774e-06,0.6808045140969625,0.0715403487097669,0.0,0.680804517324887,2630.5,0.00014074404,0.022588251,0.0011949328,0.04215623,0.04441377,0.011140837,0.99073696
2691376,1.0463418,9.99731e-07,5.0,0.021825906,0.002588699,2.8475248e-05,0.6809283042015782,0.07424497382100007,0.0,0.6809283022401612,2854.285714285714,0.00014447683,0.026910815,0.0012447318,0.045585122,0.03930421,0.010717174,0.9910902
2692376,1.0463454,9.99731e-07,5.0,0.02203378,0.0025654437,-2.010186e-06,0.646046709580646,0.07952816554060174,0.0,0.6460467099359659,3123.3793103448274,0.00012043475,0.02300294,0.0012310541,0.04498424,0.03250474,0.009745591,0.99264824
2693376,1.0463381,9.997309e-07,5.0,0.02147411,0.0026995745,-1.9196057e-05,0.6543487148808155,0.08313317404384218,0.0,0.6543487190288699,3267.1521739130435,0.00016966059,0.023688987,0.0013541302,0.044925995,0.0392847,0.0094466815,0.99153346
