Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
3293741,1.1412117,9.996706e-06,0.0,-0.020386638,0.0042370115,-1.00247376496063,0.0005076861359759585,-1.00247376737602,23.83116883116883,0.00883343,0.022596737,0.006877219,0.0208562
3294741,1.1411985,9.996706e-06,0.0,-0.029492432,0.0044031194,-0.8481084323721007,0.03440763964317739,-0.848108411331475,551.0,0.00032176738,0.020705426,0.002261898,0.023495484
3295742,1.1411643,9.996705e-06,0.0,-0.019828284,0.0045028357,-0.9151662502013745,0.034397302844029455,-0.915166251187414,600.8571428571429,0.0005539238,0.02103954,0.0021856062,0.02411002
3296741,1.141213,9.996703e-06,0.0,-0.011422502,0.0046690544,-0.8612296543584913,0.06290448978931333,-0.8612296445597352,1203.5,0.0003694637,0.02349113,0.0022258223,0.023481205
3297742,1.1412809,9.996702e-06,0.0,-0.02395352,0.0046288143,-0.9718128000909019,0.036345689703011885,-0.9718127969977055,591.25,0.0012039042,0.026695296,0.0021705679,0.022594502
3298741,1.1413481,9.996701e-06,0.0,-0.010300795,0.0045636413,-0.7949173619672365,0.06938033502956387,-0.7949173796858746,1367.0,0.0007423147,0.023212513,0.0021417614,0.023675587
3299741,1.1413835,9.996701e-06,0.0,-0.0018758965,0.0044618095,-0.7343943814504944,0.07341542110820724,-0.7343943793973419,1485.7272727272727,0.000587649,0.02381084,0.0021823626,0.023892408
3300741,1.1413682,9.996699e-06,0.0,0.0007939643,0.0045679207,-0.1570716438338257,0.08752219705175693,-0.15707164753074263,1766.3181818181818,0.0012372029,0.020944139,0.0022068643,0.023896601
3301742,1.1413785,9.996699e-06,0.0,-0.0008072963,0.0046310355,-0.06470590006399478,0.09344519507053688,-0.06470590374666677,1957.6296296296296,0.0010315411,0.026817495,0.0022442946,0.023273276
3302742,1.1413814,9.996698e-06,0.0,0.0012383525,0.0047481954,-0.3622251019814544,0.08337380456404113,-0.3622251002781323,1729.0434782608695,0.0013530508,0.021409392,0.0023615223,0.02374898
3303741,1.1413403,9.996698e-06,0.0,0.00083528267,0.004932699,0.042122603370963976,0.09196232617250644,0.04212260622176142,1952.404761904762,0.0012363635,0.023013514,0.0024358167,0.023917938
3304741,1.1413528,9.996696e-06,0.0,-0.0109156305,0.005076536,-0.3793340899235677,0.06694617523738232,-0.3793340883428932,1382.421052631579,0.0013870159,0.019037705,0.0024499611,0.023737127
3305742,1.1413404,9.996695e-06,0.0,0.0010543847,0.0047763884,0.09779210699150553,0.11302952208279748,0.09779210332576693,2617.0625,0.00071332697,0.024107408,0.0022634263,0.024284309
3306741,1.1413116,9.996695e-06,0.0,0.0047452087,0.004638541,-0.2670967049800197,0.09068998042130261,-0.26709670862617474,1974.0,0.00050851994,0.024934001,0.0021761793,0.025556251
3307741,1.1412731,9.996692e-06,0.0,0.011018652,0.004435401,0.6255953121784842,0.14224709733389318,0.6255953177178855,3260.0,0.00038909758,0.023872184,0.0021058097,0.024617624
3308741,1.1412698,9.996691e-06,0.0,0.006034602,0.0042984476,0.08694458508963569,0.09842887946537562,0.08694458555828964,2103.5,0.00029879203,0.025253411,0.0019963898,0.024842253
3309741,1.1412624,9.996691e-06,0.0,-0.0014859124,0.0041650627,-0.18342898324938992,0.07968493055280608,-0.18342898752651426,1712.4583333333333,0.000657346,0.02498684,0.0021741737,0.025560904
3310742,1.1412531,9.996688e-06,0.0,0.013766654,0.004236575,0.1617154054569815,0.10203676413332757,0.1617154095813815,2260.230769230769,0.00048411422,0.023121748,0.0021841885,0.02462562
3311741,1.1412361,9.996688e-06,0.0,0.005474842,0.0044439295,-0.22536210015396532,0.0850463782705407,-0.2253620934559862,1847.1739130434783,0.00073238875,0.023299571,0.0023107827,0.02398906
3312741,1.1412597,9.996687e-06,0.0,0.0071839383,0.0043409807,0.12203814511095905,0.1210535560011132,0.12203813751433897,2747.714285714286,0.00033035775,0.023582716,0.0020748018,0.024478598
3313741,1.1412781,9.996687e-06,0.0,0.0011312073,0.0041723815,-0.24734145698332416,0.08007512139415161,-0.24734145275302233,1759.4444444444443,0.0006427291,0.02115537,0.0020344937,0.024188891
3314741,1.1412882,9.996686e-06,0.0,-0.0072037596,0.0042142314,-0.15796393735263337,0.09506153648544569,-0.1579639318308198,2076.40625,0.0006978051,0.024263991,0.002052022,0.023370009
3315741,1.1413435,9.996686e-06,0.0,0.010210723,0.004289169,0.13248960958922648,0.10795494665840774,0.1324896117232318,2468.0,0.0004362553,0.024015984,0.0021123947,0.02493468
3316741,1.1413465,9.996686e-06,0.0,0.010596139,0.0043064984,0.22049606583067316,0.10314762300549773,0.22049606906500763,2361.5,0.00025210154,0.023768352,0.0020240822,0.025029954
3317742,1.1413778,9.996683e-06,0.0,0.0125081455,0.0044568665,-0.08885918393170869,0.08576398694131057,-0.0888591862630796,1929.9,0.00033250838,0.023819627,0.0022601108,0.026050042
3318741,1.141449,9.996682e-06,0.0,0.0106986575,0.004657523,-0.17382509539811508,0.08599991407633449,-0.17382509407970648,1949.0555555555557,0.00039501305,0.022543974,0.0022118469,0.026278468
3319742,1.1414652,9.996681e-06,0.0,0.01894254,0.0044589625,0.34642438839562767,0.10977674146521497,0.34642437828972567,2475.5454545454545,0.0003512353,0.023422398,0.0021071,0.025437362
3320742,1.1414346,9.996679e-06,0.0,0.012281128,0.004452369,0.11711330890102545,0.10344588041253802,0.11711330194235275,2355.8888888888887,0.00048447645,0.021569908,0.0021415593,0.02484912
3321742,1.1414511,9.996676e-06,0.0,0.016369864,0.0045323703,0.22274977422811,0.10750449792249128,0.22274977342104105,2374.9285714285716,0.00010883604,0.024277357,0.0021323196,0.025668418
3322742,1.1414262,9.996676e-06,0.0,0.008115419,0.004541363,0.12606424348859946,0.09398890510783531,0.12606424666932287,2081.65,0.00034311548,0.024749778,0.0020537402,0.025123868
3323741,1.1414226,9.996676e-06,0.0,0.014426094,0.0046579833,0.02804843272458943,0.09395884762603887,0.02804842293073888,2012.3684210526317,0.0005488086,0.023195557,0.0022810344,0.024550144
3324741,1.1413879,9.996675e-06,0.0,0.01582172,0.004646547,0.36749221589774317,0.1121188263519128,0.367492228643302,2539.0,0.00030190783,0.024516478,0.0022170483,0.024977569
3325741,1.1414119,9.996673e-06,0.0,0.003631724,0.004638923,-0.18754871125496547,0.08674025751506201,-0.18754871830514783,1889.3809523809523,0.000524209,0.025076807,0.0022048885,0.023857309
3326741,1.1414773,9.996673e-06,0.0,0.0014955341,0.004634284,-0.15477130254865706,0.08195316652944755,-0.15477131069879016,1814.2857142857142,0.0004998536,0.02394904,0.0022288922,0.025178742
3327741,1.1414949,9.996672e-06,0.0,0.0071052536,0.004505001,-0.15872623234008643,0.09920247033393631,-0.1587262343382072,2217.8,0.0004481537,0.019261597,0.0022176038,0.02378965
3328741,1.1415554,9.996671e-06,0.0,0.0115903905,0.0047093583,0.17474561878814712,0.11249810632085427,0.1747456202682629,2524.36,0.0005624428,0.026480095,0.002295103,0.024486963
3329742,1.1415713,9.99667e-06,0.0,0.009295857,0.004606224,0.08521457500673932,0.10254178567556664,0.08521457426665364,2281.35,0.0003344139,0.023118693,0.002225998,0.02434606
3330742,1.1415995,9.99667e-06,0.0,0.015767038,0.0045317556,0.3453820570106142,0.11402565432945266,0.3453820494297583,2506.4545454545455,0.0001985823,0.02175591,0.002275742,0.023784323
3331742,1.141629,9.996669e-06,0.0,0.004412661,0.004555975,-0.04313314868957842,0.09211138497946945,-0.04313315192496549,1931.8260869565217,0.0005599168,0.026257504,0.0021763323,0.025154963
3332741,1.1415994,9.996669e-06,0.0,-0.0019063477,0.004735863,-0.35423117077301536,0.07079292490115305,-0.3542311846434271,1534.6818181818182,0.0005146133,0.022523226,0.0021704533,0.025223255
3333741,1.141596,9.996666e-06,0.0,0.01440254,0.004779293,0.16860754794623445,0.1027576929068585,0.16860754754324342,2236.8947368421054,0.00035569398,0.023110457,0.0021914775,0.025452526
3334741,1.1416433,9.9966655e-06,0.0,0.015167128,0.004820376,0.07788331890718408,0.08817698037155959,0.07788330958185113,1919.2941176470588,0.00035798806,0.024499988,0.0023055403,0.02347487
3335741,1.1416526,9.9966655e-06,0.0,0.00249026,0.0049509797,-0.2663580324873613,0.08792562265981636,-0.2663580388709574,1851.391304347826,0.00041840624,0.022889951,0.0022953353,0.022874676
3336742,1.1417094,9.996664e-06,0.0,0.011107643,0.0048435414,0.4090227596037342,0.11694741450871031,0.4090227567248145,2512.0,0.00020841694,0.023061134,0.0022216854,0.023793539
3337743,1.1416988,9.996662e-06,0.0,0.005295077,0.0047871517,-0.23747280671280654,0.08536742689385493,-0.23747280527969622,1824.4444444444443,0.0006381178,0.025868703,0.0022118136,0.02432853
3338742,1.1417512,9.996662e-06,0.0,-0.0029991088,0.005092623,-0.1732289014817503,0.09163285983404854,-0.1732289051436894,1927.357142857143,0.00082781585,0.021210417,0.0023917677,0.024187028
3339741,1.1417335,9.99666e-06,0.0,0.009946209,0.0047063837,0.04146456107212414,0.09816806148903977,0.041464558396242905,2085.0714285714284,0.00039467524,0.02068616,0.0023155233,0.024435874
3340741,1.1417397,9.996658e-06,0.0,0.012982553,0.0047156494,0.24277936560651547,0.11850256397964484,0.24277936879854817,2589.222222222222,0.00038514746,0.024947524,0.002240092,0.023855768
3341741,1.1418105,9.996658e-06,0.0,0.018530242,0.0046413313,0.14728306198032276,0.13066378307253632,0.14728305119983112,2811.818181818182,0.00030933082,0.026377242,0.002175474,0.023939539
3342741,1.141822,9.996657e-06,0.0,0.018111888,0.0047552865,0.29539762740205333,0.11103909137050828,0.2953976358539545,2377.1666666666665,0.00036637372,0.02473481,0.0023177825,0.023694474
3343741,1.1417975,9.996656e-06,0.0,0.012279727,0.004638598,-0.17414277012597845,0.10023751545337621,-0.1741427565399428,2097.4545454545455,0.00032414027,0.024277257,0.002308598,0.022739403
3344741,1.1417401,9.9966555e-06,0.0,0.018134966,0.004806175,0.2563307973116025,0.10008471405987317,0.25633079366557154,2209.0666666666666,0.00017456921,0.024560828,0.002301063,0.024091942
3345741,1.1416796,9.9966555e-06,0.0,0.017480249,0.0047988645,0.15010374090649603,0.10292855888531592,0.15010374102789265,2200.7894736842104,0.00032163152,0.021434901,0.0022172092,0.023981486
3346742,1.1417228,9.996655e-06,0.0,0.01609173,0.004615389,0.09450867974928337,0.10294926794622802,0.0945086877100231,2106.0476190476193,0.0002443674,0.025127003,0.0023267223,0.02344209
3347741,1.141722,9.996655e-06,0.0,0.017184837,0.0046488447,0.11261737491076929,0.10155415199159716,0.11261737958644216,2132.1153846153848,0.0003564215,0.021855475,0.0023172584,0.022939898
3348741,1.1416819,9.996651e-06,0.0,0.0050649447,0.004672736,-0.0003669689875096083,0.08563244257587939,-0.0003669653018362418,1750.76,0.00073547737,0.028361574,0.0023485306,0.025158359
3349741,1.1416384,9.996651e-06,0.0,0.012028989,0.0045684366,0.2529237219794595,0.11515295215358493,0.2529237290883629,2434.75,0.00054994604,0.02612451,0.0022648333,0.023574384
